Rubrique;Poste;A1;A2;A3;A4;A5
PRODUITS;Abonnements menages;460,8;1420,8;3264,0;6912,0;12288,0
PRODUITS;Abonnements PRO;72,0;228,0;516,0;1080,0;1860,0
PRODUITS;Vente de matieres valorisees;142,6;661,3;1769,5;4232,3;8523,9
PRODUITS;CHIFFRE D AFFAIRES;675,4;2310,1;5549,5;12224,3;22671,9
CHARGES;Masse salariale chargee;492,8;1397,6;3062,8;5773,0;9940,3
CHARGES;Carburant et entretien;96,0;260,0;530,0;1080,0;1880,0
CHARGES;Centres de tri;90,0;185,0;385,0;790,0;1330,0
CHARGES;Redevances et taxes;55,0;165,0;335,0;700,0;1190,0
CHARGES;Marketing et acquisition;60,0;130,0;210,0;400,0;660,0
CHARGES;Technologie;45,0;95,0;195,0;385,0;630,0
CHARGES;Programme Points Clean;25,0;85,0;170,0;425,0;890,0
CHARGES;Frais generaux et administratifs;70,0;145,0;260,0;500,0;860,0
CHARGES;TOTAL CHARGES DECAISSEES;933,8;2462,6;5147,8;10053,0;17380,3
SOLDES;EBITDA;-258,4;-152,5;401,7;2171,3;5291,6
SOLDES;Marge EBITDA en %;-38,3;-6,6;7,2;17,8;23,3
SOLDES;Dotations aux amortissements;186,0;333,0;558,0;918,0;1398,0
SOLDES;RESULTAT D EXPLOITATION;-444,4;-485,5;-156,3;1253,3;3893,6
SOLDES;Impot sur les societes;0,0;0,0;0,0;41,8;973,4
SOLDES;RESULTAT NET;-444,4;-485,5;-156,3;1211,5;2920,2
SOLDES;Resultat net cumule;-444,4;-929,9;-1086,2;125,3;3045,5
